timestamp,block_number,tx_index,tx_hash,action,log_index,token_id,tick_lower,tick_upper,liquidity,amount0,amount1,amount0_dec,amount1_dec,fee0,fee1,fee0_dec,fee1_dec,details
2025-09-04T13:45:25+00:00,35102089,33,0x302b346784141a86351ebe7a96bbebc726a3f4bf0a3e43e63aa0c170863efb2c,mint,133,24623109,-70100,-70000,11277423106,1641793994,207616,1641.793994,0.00207616,,,0,0,"{""pool_owner"": ""0x827922686190790b37229fd06084350E74485b72""}"
2025-09-04T15:20:13+00:00,35104933,575,0x859b7ffabf3c3711ab33f73fc93bf67052ee44c0b69542dd0144184519940894,burn,1012,24623109,-70100,-70000,11277423106,0,1698706,0,0.01698706,,,0,0,
2025-09-04T15:20:13+00:00,35104933,575,0x859b7ffabf3c3711ab33f73fc93bf67052ee44c0b69542dd0144184519940894,collect,1017,24623109,-70100,-70000,,1238164,1700223,1.238164,0.01700223,1238164,1517,1.238164,0.00001517,"{""recipient"": ""0x982116545d53F954Ac348694CB1a8cF45269bBf0""}"
2025-09-04T15:20:35+00:00,35104944,114,0x50cba4d4133457404c19799e48723dbb61342ab8b0053fc7b01cd44ffeec3a28,mint,647,24631504,-70100,-69900,5593439096,779894651,973749,779.894651,0.00973749,,,0,0,"{""pool_owner"": ""0x827922686190790b37229fd06084350E74485b72""}"
2025-09-04T22:30:11+00:00,35117832,153,0x3e447309a3609eae17ea24c16641408aa9f3c504426028cae834098c8c4c5f16,burn,1040,24631504,-70100,-69900,5593439096,1851883658,0,1851.883658,0,,,0,0,
2025-09-04T22:30:11+00:00,35117832,153,0x3e447309a3609eae17ea24c16641408aa9f3c504426028cae834098c8c4c5f16,collect,1045,24631504,-70100,-69900,,1853876952,1506,1853.876952,0.00001506,1993294,1506,1.993294,0.00001506,"{""recipient"": ""0x982116545d53F954Ac348694CB1a8cF45269bBf0""}"
2025-09-04T22:30:29+00:00,35117841,64,0x6d3d95202b4bfa804e6074bd53396ea4692ab175cff599684bac214c19502fb8,mint,108,24665233,-70200,-70000,6022391873,1123841292,790345,1123.841292,0.00790345,,,0,0,"{""pool_owner"": ""0x827922686190790b37229fd06084350E74485b72""}"
2025-09-05T07:00:11+00:00,35133132,231,0xd66c69fc369fce1d58bd2f6c1112b5902b6da3e2b5725a2f65814f699450c13f,burn,838,24665233,-70200,-70000,6022391873,2003895919,0,2003.895919,0,,,0,0,
2025-09-05T07:00:11+00:00,35133132,231,0xd66c69fc369fce1d58bd2f6c1112b5902b6da3e2b5725a2f65814f699450c13f,collect,843,24665233,-70200,-70000,,2005773386,1396,2005.773386,0.00001396,1877467,1396,1.877467,0.00001396,"{""recipient"": ""0x982116545d53F954Ac348694CB1a8cF45269bBf0""}"
2025-09-05T07:00:33+00:00,35133143,81,0xce9e81be9049d53a868a857afc67ecd5a9c79959a14e0ab3c5d6c49e3b0db16e,mint,313,24700852,-70300,-70100,5986711265,1074021403,825300,1074.021403,0.008253,,,0,0,"{""pool_owner"": ""0x827922686190790b37229fd06084350E74485b72""}"
2025-09-05T08:00:13+00:00,35134933,97,0xd37c43fe595c1e428dd97d5eaa6a1b1a163d483340b1cbd7c2d558fbbc9a32b5,burn,219,24700852,-70300,-70100,5986711265,2002008081,0,2002.008081,0,,,0,0,
2025-09-05T08:00:13+00:00,35134933,97,0xd37c43fe595c1e428dd97d5eaa6a1b1a163d483340b1cbd7c2d558fbbc9a32b5,collect,224,24700852,-70300,-70100,,2002722520,360,2002.72252,0.0000036,714439,360,0.714439,0.0000036,"{""recipient"": ""0x982116545d53F954Ac348694CB1a8cF45269bBf0""}"
2025-09-05T08:00:31+00:00,35134942,63,0x7a52e5b6f18987418baf267209751ba8df87fc6be7111040c60ee1a4892e5d7c,mint,101,24706500,-70400,-70200,5962543749,1002477488,882086,1002.477488,0.00882086,,,0,0,"{""pool_owner"": ""0x827922686190790b37229fd06084350E74485b72""}"
2025-09-05T14:20:15+00:00,35146334,64,0xee2981b7577978a7e6a11fd58cf5c0b67dc0bed1ed2245f10ec654ee8c5c007a,burn,115,24706500,-70400,-70200,5962543749,0,1773956,0,0.01773956,,,0,0,
2025-09-05T14:20:15+00:00,35146334,64,0xee2981b7577978a7e6a11fd58cf5c0b67dc0bed1ed2245f10ec654ee8c5c007a,collect,120,24706500,-70400,-70200,,3813416,1777644,3.813416,0.01777644,3813416,3688,3.813416,0.00003688,"{""recipient"": ""0x982116545d53F954Ac348694CB1a8cF45269bBf0""}"
2025-09-05T14:40:23+00:00,35146938,25,0x2a638d71140b743d9d7c238fddcec2f72971d70f77dc10339acb6330f6d76924,mint,124,24737600,-70200,-70000,5848627593,974458314,873100,974.458314,0.008731,,,0,0,"{""pool_owner"": ""0x827922686190790b37229fd06084350E74485b72""}"
2025-09-08T09:10:11+00:00,35266632,201,0xe879ed8fadce3187ef4ca691e5e46309c3a8858278ff5fc1a4b136f290be697d,burn,386,24737600,-70200,-70000,5848627593,1946077441,0,1946.077441,0,,,0,0,
2025-09-08T09:10:11+00:00,35266632,201,0xe879ed8fadce3187ef4ca691e5e46309c3a8858278ff5fc1a4b136f290be697d,collect,391,24737600,-70200,-70000,,1954674579,7427,1954.674579,0.00007427,8597138,7427,8.597138,0.00007427,"{""recipient"": ""0x982116545d53F954Ac348694CB1a8cF45269bBf0""}"
2025-09-08T09:10:29+00:00,35266641,144,0x04afab06eb0d70ac34a3c203a0e35bc2d85a6977fa198a22cb04f5e665aaefab,mint,164,24962130,-70300,-70100,5998766647,1019381456,877728,1019.381456,0.00877728,,,0,0,"{""pool_owner"": ""0x827922686190790b37229fd06084350E74485b72""}"
2025-09-09T06:50:07+00:00,35305630,246,0x0f46876aa1e3960e72f769e71fff8db85b0ebfeab16089a51486d33f658a023e,burn,1103,24962130,-70300,-70100,5998766647,1974562188,27869,1974.562188,0.00027869,,,0,0,
2025-09-09T06:50:07+00:00,35305630,246,0x0f46876aa1e3960e72f769e71fff8db85b0ebfeab16089a51486d33f658a023e,collect,1108,24962130,-70300,-70100,,1978938389,31448,1978.938389,0.00031448,4376201,3579,4.376201,0.00003579,"{""recipient"": ""0x982116545d53F954Ac348694CB1a8cF45269bBf0""}"
2025-09-09T06:50:31+00:00,35305642,49,0x9a5f622846a0c4ffd0307416b7d1142eab55339eea56fb34fbb0adaac467168a,mint,211,25056967,-70400,-70200,5877364286,968649223,886754,968.649223,0.00886754,,,0,0,"{""pool_owner"": ""0x827922686190790b37229fd06084350E74485b72""}"
2025-09-09T14:40:09+00:00,35319731,87,0x705f9c3216c6f904aa20a6d022bfa4fd5723fc32c8b239472ee991069a3c241f,burn,345,25056967,-70400,-70200,5877364286,0,1748613,0,0.01748613,,,0,0,
2025-09-09T14:40:09+00:00,35319731,87,0x705f9c3216c6f904aa20a6d022bfa4fd5723fc32c8b239472ee991069a3c241f,collect,350,25056967,-70400,-70200,,1912054,1750596,1.912054,0.01750596,1912054,1983,1.912054,0.00001983,"{""recipient"": ""0x982116545d53F954Ac348694CB1a8cF45269bBf0""}"
2025-09-09T14:40:23+00:00,35319738,38,0x6c05360f5ad1303ab5fa8c0402b29cb97b3756f72b2541f632d9dd488498d294,mint,244,25090218,-70300,-70100,5938143837,973775132,900424,973.775132,0.00900424,,,0,0,"{""pool_owner"": ""0x827922686190790b37229fd06084350E74485b72""}"
2025-09-10T12:40:09+00:00,35359331,25,0xd1b8a588476e2a95afacf8511388a744a565142ff06a59f4b53a180d1cf1648e,burn,56,25090218,-70300,-70100,5938143837,1985766713,0,1985.766713,0,,,0,0,
2025-09-10T12:40:09+00:00,35359331,25,0xd1b8a588476e2a95afacf8511388a744a565142ff06a59f4b53a180d1cf1648e,collect,61,25090218,-70300,-70100,,1989568062,3096,1989.568062,0.00003096,3801349,3096,3.801349,0.00003096,"{""recipient"": ""0x982116545d53F954Ac348694CB1a8cF45269bBf0""}"
